name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Survey the Kill Box,physical,2,Ballistics,Targeting,Vigor,Ballistics,,3,1,"Trajectory, Precision",any,"setup, protection, support",,Target,Self; choose a visible line of 4 spaces within ranged Weapon Range.,Effect,"Unopposed. Until your next turn, your ranged attacks against creatures in the line ignore 1 point of cover bonus. You gain +1 Fortitude against ranged attacks from the line.",1,Bend the line once around a corner you can see.,2,An ally within 3 units gains the same attack benefit until the start of your next turn.,Lock - Targeting,"Establish Lock on one visible creature in the line. If it leaves the line before your next turn, you may transfer Lock to another visible creature inside it.",LOCK LIMIT: 1
Interdiction Pattern,physical,2,Ballistics,Suppression,Vigor,Ballistics,Fortitude,3,2,"Cadence, Payload",any,"damage, area, control",,Target,Up to three enemies within ranged Weapon Range and a sphere of radius 1.,Effect,"On success, each takes 1 weapon Damage and is Slowed 1 until the start of your next turn.",1,Increase the Slow by 1.,2,Each hit target's next ranged Action suffers -1 on its Success Die until the start of your next turn.,Lock - Suppression,You may end Lock on one hit target to prevent its movement Reactions until the start of your next turn.,LOCK LIMIT: 1
Corridor Denial,physical,2,Ballistics,Suppression,Vigor,Ballistics,,3,2,"Trajectory, Penetration",any,"terrain, control",,Target,A line of 5 spaces within ranged Weapon Range.,Effect,"Unopposed. Until your next turn, the line is difficult terrain for enemies and provides no cover bonus to creatures inside it.",1,The line may turn once at a visible corner.,2,One enemy currently in the line takes 1 weapon Damage on a successful attack against its Fortitude.,Lock - Suppression,"If your Locked target voluntarily moves into or along the line before your next turn, end Lock to halt that movement after its first unit. It may burn 1 die to continue.",LOCK LIMIT: 1
Through the Weak Point,physical,2,Ballistics,Trickshot,Grace,Ballistics,Fortitude,3,2,"Penetration, Precision",any,"damage, debuff, support",,Target,"One detected enemy within ranged Weapon Range behind light, non-solid cover.",Effect,"Ignore up to 2 points of ordinary cover bonus. On success, deal 2 weapon Damage. Solid walls still block the shot.",1,Suppress 1 point of equipment Fortitude for this attack.,2,One hit target cannot claim that particular cover source until the start of your next turn.,Lock - Trickshot,"After a hit, you may end Lock to let the next allied ranged attack against that target ignore 1 point of cover bonus until the start of your next turn.",LOCK LIMIT: 1
Ricochet Relay,physical,2,Ballistics,Trickshot,Grace,Ballistics,Fortitude,3,2,"Trajectory, Flair",any,"damage, area, control",,Target,"Up to two detected enemies within ranged Weapon Range along one bent, unobstructed path.",Effect,"On success, each target takes 1 weapon Damage. Measure the full path through the first target's space to the second.",1,Ignore 1 point of cover bonus against both targets.,2,Push one hit target 1 unit in the direction of the last path segment.,Lock - Trickshot,"After resolving, you may transfer existing Lock between the targets. The new target is Locked through ordinary concealment until your next turn.",LOCK LIMIT: 1
Cut the Tether,physical,2,Ballistics,Trickshot,Grace,Ballistics,Fortitude,3,1,"Penetration, Payload",any,"damage, suppression, support",,Target,"One enemy within ranged Weapon Range maintaining an ordinary restraint, or the exposed restraint itself.",Effect,"On success, deal 1 weapon Damage to an enemy and suppress one ordinary restraint it maintains until the start of your next turn. An unattended mundane tether can instead be severed without an opposed roll.",1,A freed willing creature may move 1 unit immediately.,2,"End the restraint rather than suppress it, if it is nonmagical and not a Specialty effect.",Lock - Trickshot,"If the restraining enemy is Locked, end Lock after a hit to make it Slowed 2 until the start of your next turn.",LOCK LIMIT: 1
Three-Lane Sweep,physical,2,Ballistics,Salvo,Vigor,Ballistics,Fortitude,3,2,"Cadence, Trajectory",any,"damage, area, setup",,Target,Up to three enemies within ranged Weapon Range and a cone of length 5.,Effect,"On success, each target takes 1 weapon Damage.",1,Choose one target to ignore 1 point of cover bonus against.,2,Each hit target is Slowed 1 until the start of your next turn.,Lock - Salvo,"After resolving, choose a hit target. You may transfer your Lock to it; the other hit targets cannot provide it cover against your next Ballistics Action until the start of your next turn.",LOCK LIMIT: 1
Rolling Extraction,physical,2,Ballistics,Salvo,Grace,Ballistics,Fortitude,3,2,"Mobility, Flair",any,"damage, area, support, mobility",,Target,Up to two enemies within ranged Weapon Range.,Effect,"On success, each target takes 1 weapon Damage. After resolving, yourself or a willing ally within 3 units may move up to 2 units.",1,Increase the movement by 1 unit.,2,The moving creature ignores movement Reactions from hit targets.,Lock - Salvo,"If a hit target is Locked, you may end Lock to grant the moving creature +1 Fortitude against ranged attacks until the start of your next turn.",LOCK LIMIT: 1
Terminal Vector,physical,2,Ballistics,Execution,Grace,Ballistics,Fortitude,3,2,"Precision, Penetration",any,"damage, debuff",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 2 weapon Damage.",1,Ignore 1 point of cover bonus.,2,Deal +1 Damage if the target is both Locked and already damaged since its last turn.,Lock - Execution,"After a hit, you may end Lock to deny the target's next ordinary damage-reduction benefit worth 1 Damage before your next turn. This does not bypass Resilience or Temporary Wounds.",LOCK LIMIT: 1
No Safe Exit,physical,2,Ballistics,Execution,Vigor,Ballistics,Fortitude,3,2,"Cadence, Payload",any,"damage, control, debuff",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage and make the target Slowed 2 until the start of your next turn.",2,Deal +1 weapon Damage.,1,The target also suffers -1 on its next ranged Success Die until the start of your next turn.,Lock - Execution,"If the target is Locked, you may end Lock when it next leaves cover before your next turn: it takes 1 weapon Damage after that movement. This rider resolves once.",LOCK LIMIT: 1
Hold the Last Sightline,physical,2,Ballistics,Targeting,Vigor,Ballistics,,3,1,"Mobility, Flair",any,"protection, support, mobility",,Target,Self or one willing ally within 3 units.,Effect,"Unopposed. The target moves up to 2 units into a space with cover, or 1 unit if no cover is available, then reduces its next incoming Damage by 1 until the start of your next turn.",1,Ignore difficult terrain during the movement.,2,The target also gains +1 Fortitude against ranged attacks until the start of your next turn.,Lock - Targeting,"Your current Lock persists through one break in sight until the end of your next turn; if it is restored sooner, you may transfer it to a different visible creature without a burn.",LOCK LIMIT: 1
Raking Talons,physical,0,Gestalt,Predator,Grace,Gestalt,Fortitude,2,,,any,"damage, mobility",,Target,One adjacent enemy.,Effect,"On success, deal 1 Slashing Damage.",2,Deal +1 Slashing Damage.,1,Move 1 unit around the target after the attack.,Adaptation - Predator,"Assume Hooked Talons (upkeep 0): you can climb rough surfaces at normal Movement, but must keep one hand free while climbing.",ADAPTATION LIMIT: 1
Dermal Plates,physical,0,Gestalt,Bulwark,Vigor,Gestalt,,2,,,any,"protection, support",,Target,Self.,Effect,Unopposed. Reduce your next incoming Damage by 1 until the start of your next turn.,1,Reduce your next forced movement by 1 unit until the start of your next turn.,2,Protect an adjacent willing ally against its next Damage as well.,Adaptation - Bulwark,"Assume Plates (upkeep 0): while you have not moved since your last turn began, gain +1 Fortitude against ranged attacks.",ADAPTATION LIMIT: 1
Ballast Knuckles,physical,0,Gestalt,Titan,Might,Gestalt,Fortitude,2,,,any,"damage, control, protection",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and push it 1 unit.",1,Push 1 additional unit.,2,Knock the target Prone if it ends beside an obstacle.,Adaptation - Titan,Assume Ballast (upkeep 0): reduce the first forced movement against you each round by 1 unit; your normal Movement is reduced by 1.,ADAPTATION LIMIT: 1
Spring Tendons,physical,0,Gestalt,Strider,Grace,Gestalt,Fortitude,2,,,any,"damage, mobility",,Target,One enemy adjacent after your movement.,Effect,"Move up to 2 units before rolling. On success, deal 1 Bludgeoning Damage.",1,Increase the movement by 1 unit.,2,"After a hit, move 1 unit away without triggering that target's movement Reactions.",Adaptation - Strider,Assume Springs (upkeep 0): your normal Movement may cross a 1-unit gap without a check if you have a clear landing space.,ADAPTATION LIMIT: 1
Lateral Eyes,physical,0,Gestalt,Chimera,Vigor,Gestalt,,2,,,any,"information, protection, support",,Target,Self.,Effect,Unopposed. Detect the location of one concealed but not fully hidden enemy within 3 units; gain +1 Fortitude against that enemy until the start of your next turn.,1,Increase detection range by 2 units.,2,An adjacent willing ally gains the same defensive bonus.,Adaptation - Chimera,Assume Lateral Eyes (upkeep 0): ordinary visual concealment within 1 unit does not impose penalties on your attacks; solid barriers and complete invisibility still matter.,ADAPTATION LIMIT: 1
Clotting Membrane,physical,0,Gestalt,Bulwark,Vigor,Gestalt,,2,,,any,"suppression, protection",,Target,Self.,Effect,Unopposed. Suppress one Light physical Wound Condition's numerical penalties until the start of your next turn. The injury remains.,1,Extend suppression through the end of your next turn.,2,Reduce your next incoming Damage by 1 until the start of your next turn.,Adaptation - Bulwark,Assume Membrane (upkeep 0): your first entry into hazardous terrain each turn cannot add an ordinary Bleeding Condition. It still deals its Damage and other effects.,ADAPTATION LIMIT: 1
Serrated Jaw,physical,1,Gestalt,Predator,Might,Gestalt,Fortitude,2,1,"Armament, Metabolism",any,"damage, control, suppression",,Target,One adjacent enemy.,Effect,"On success, deal 1 Piercing Damage. If the target is already Slowed, pull it 1 unit.",2,Deal +1 Damage.,1,Suppress one ordinary Poison penalty on yourself until the start of your next turn.,Adaptation - Predator,Assume Serrated Jaw (upkeep 0): your first Gestalt hit each turn against a creature that is Prone can move it 1 unit toward you.,ADAPTATION LIMIT: 1
Vibration Whiskers,physical,1,Gestalt,Predator,Grace,Gestalt,Fortitude,2,1,"Awareness, Armament",any,"damage, information",,Target,One detected adjacent enemy.,Effect,"Ignore ordinary visual concealment for this attack. On success, deal 1 Slashing Damage.",1,Learn whether the target has a higher Fortitude or Composure.,2,Deal +1 Damage if the target voluntarily moved since your last turn.,Adaptation - Predator,"Assume Whiskers (upkeep 0): you detect the occupied space of moving creatures within 2 units on the same continuous surface, but not their identity or through solid walls.",ADAPTATION LIMIT: 1
Pursuit Sinews,physical,1,Gestalt,Predator,Grace,Gestalt,Fortitude,2,1,"Locomotion, Integration",any,"damage, mobility",,Target,One enemy adjacent after your movement.,Effect,"Move up to 2 units toward a creature that moved since your last turn. On success, deal 1 Slashing Damage.",1,Increase the movement by 1 unit.,2,"After a hit, ignore the target's movement Reactions until the start of your next turn.",Adaptation - Predator,"Assume Pursuit Sinews (upkeep 0): once on each of your turns, when you replace this Adaptation with another, move 1 unit toward a visible enemy.",ADAPTATION LIMIT: 1
Keratin Mantle,physical,1,Gestalt,Bulwark,Vigor,Gestalt,,2,1,"Metabolism, Integration",any,"protection, support",,Target,Self or one adjacent willing ally.,Effect,Unopposed. Reduce the target's next incoming Damage by 1 and next forced movement by 1 unit until the start of your next turn.,1,The target gains +1 Fortitude against hazards until the start of your next turn.,2,You and the ally both receive the protection.,Adaptation - Bulwark,"Assume Mantle (upkeep 1): the first Damage you take each round is reduced by 1. This is prevention, not increased Resilience or removal of accumulated Damage.",ADAPTATION LIMIT: 1
Trauma Lattice,physical,1,Gestalt,Bulwark,Vigor,Gestalt,,2,1,"Regeneration, Plasticity",any,"suppression, protection",,Target,Self.,Effect,Unopposed. Suppress the numerical penalties from one Light physical Wound Condition until the start of your next turn; gain +1 Fortitude against forced movement during that time.,1,Suppression lasts through the end of your next turn.,2,Suppress one ordinary Slowed or Poison Condition for the same duration.,Adaptation - Bulwark,"Assume Lattice (upkeep 1): suppress one chosen Light physical Wound Condition's numerical penalties while this Adaptation remains. Missing structures, Critical effects and Wound spaces are unchanged.",ADAPTATION LIMIT: 1
Reflex Spines,physical,1,Gestalt,Bulwark,Vigor,Gestalt,Fortitude,2,1,"Awareness, Armament",any,"damage, protection, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 Piercing Damage. Independently, reduce your next incoming melee Damage by 1 until the start of your next turn.",1,"On a hit, push the enemy 1 unit.",2,Gain +1 Fortitude against that enemy until the start of your next turn.,Adaptation - Bulwark,"Assume Spines (upkeep 1): the first time each round an enemy voluntarily moves between two spaces adjacent to you, its movement ends in the destination space.",ADAPTATION LIMIT: 1
Counterweight Tail,physical,1,Gestalt,Titan,Might,Gestalt,Fortitude,2,1,"Plasticity, Locomotion",any,"damage, control, mobility",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and move the target to another empty space adjacent to you.",1,You may move 1 unit before moving the target.,2,Knock the target Prone.,Adaptation - Titan,Assume Counterweight (upkeep 0): you cannot be made Prone by ordinary terrain; other sources can still knock you Prone.,ADAPTATION LIMIT: 1
Hydraulic Musculature,physical,1,Gestalt,Titan,Might,Gestalt,Fortitude,2,1,"Armament, Metabolism",any,"damage, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage and push it 2 units.",1,Push 1 additional unit.,2,Deal +1 Damage if the target hits an impassable obstacle.,Adaptation - Titan,Assume Hydraulics (upkeep 1): the first successful Gestalt push or pull on each of your turns moves its target 1 additional unit.,ADAPTATION LIMIT: 1
Rooted Mass,physical,1,Gestalt,Titan,Vigor,Gestalt,,2,1,"Integration, Regeneration",any,"protection, support, suppression",,Target,Self.,Effect,Unopposed. Reduce the next incoming Damage by 1 and resist up to 2 units of forced movement until the start of your next turn.,1,Suppress one Light physical Wound Condition's Movement penalty until the start of your next turn.,2,An adjacent willing ally may share the forced-movement protection.,Adaptation - Titan,"Assume Rooted Mass (upkeep 0): while stationary, adjacent willing allies resist the first 1 unit of forced movement against them each round. You count as an ally for this benefit.",ADAPTATION LIMIT: 1
Adhesive Pads,physical,1,Gestalt,Strider,Grace,Gestalt,,2,1,"Locomotion, Plasticity",any,"mobility, suppression",,Target,Self.,Effect,"Unopposed. Move up to 3 units along a wall, floor or rough ceiling, ending on a supporting surface.",1,Increase the movement by 1 unit.,2,An ordinary restraint that prevents this movement is suppressed until the movement ends.,Adaptation - Strider,Assume Pads (upkeep 0): climb walls at normal Movement while at least two limbs are available; a ceiling requires an extra 1 unit per space.,ADAPTATION LIMIT: 1
Pneumatic Leap,physical,1,Gestalt,Strider,Grace,Gestalt,Fortitude,2,1,"Locomotion, Armament",any,"damage, mobility, control",,Target,One enemy adjacent to an empty landing space within 3 units.,Effect,"Leap to the landing space along a clear path. On success, deal 1 Bludgeoning Damage to the target.",1,Increase leap distance by 1 unit.,2,"On a hit, push the target 2 units away from your landing space.",Adaptation - Strider,"Assume Pneumatics (upkeep 0): your jumps ignore the first 1 unit of vertical rise, but cannot pass through solid obstacles or end unsupported.",ADAPTATION LIMIT: 1
Vestibular Override,physical,1,Gestalt,Strider,Grace,Gestalt,,2,1,"Awareness, Regeneration",any,"mobility, suppression",,Target,Self.,Effect,"Unopposed. Stand from Prone without burning a die, then move up to 2 units. Suppress ordinary dizziness or disorientation penalties during this Action.",1,Increase movement by 1 unit.,2,Suppress one ordinary Movement-limiting Condition until the start of your next turn.,Adaptation - Strider,Assume Override (upkeep 0): ignore the Fortitude penalty from Prone; its other effects remain.,ADAPTATION LIMIT: 1
Tool-Bearing Digits,physical,1,Gestalt,Chimera,Grace,Gestalt,Fortitude,2,1,"Plasticity, Integration",any,"damage, control, utility",,Target,"One adjacent enemy, or one unsecured small object within 2 units.",Effect,"On success, deal 1 Bludgeoning Damage and pull a hit enemy 1 unit. An unattended object instead moves into your hand without opposition.",1,"After a hit, move 1 unit around the enemy.",2,A hit enemy cannot make movement Reactions against you until the start of your next turn.,Adaptation - Chimera,"Assume Digits (upkeep 0): you may hold one extra small object, but gain no additional weapon Source, Action, Reaction or item use.",ADAPTATION LIMIT: 1
Toxin-Filtering Gill,physical,1,Gestalt,Chimera,Vigor,Gestalt,,2,1,"Metabolism, Regeneration",any,"suppression, protection, support",,Target,Self or one adjacent willing ally.,Effect,Unopposed. Suppress one ordinary Poison or breathing-related numerical penalty until the start of your next turn. The target also reduces its next incoming Acid Damage by 1 during that time.,1,The target may move 1 unit out of a cloud or liquid.,2,Protect both yourself and the ally.,Adaptation - Chimera,Assume Filter (upkeep 0): your first exposure each round to a harmful gas cannot apply an ordinary Poison Condition; its Damage and other effects remain.,ADAPTATION LIMIT: 1
Distributed Vigilance,physical,1,Gestalt,Chimera,Vigor,Gestalt,,2,1,"Awareness, Integration",any,"information, protection, support",,Target,Self; choose a visible point within 3 units.,Effect,"Unopposed. Until your next turn, know when a creature enters within 1 unit of the point, even in ordinary darkness; gain +1 Composure against sensory deception.",1,Increase the watched radius to 2 units.,2,Share the defensive benefit with an adjacent willing ally.,Adaptation - Chimera,Assume Vigilance (upkeep 0): replacing an Adaptation never blocks your awareness of detected creatures during the transformation; gain +1 Composure against distraction while transforming.,ADAPTATION LIMIT: 1
Mandible Lock,physical,2,Gestalt,Predator,Might,Gestalt,Fortitude,3,2,"Armament, Plasticity",any,"damage, control",,Target,One adjacent enemy.,Effect,"On success, deal 2 Piercing Damage and prevent the target from moving through your space until the start of your next turn.",1,Pull it 1 unit after the bite.,2,The target must burn 1 die before voluntarily moving away from you until the start of your next turn.,Adaptation - Predator,Assume Mandibles (upkeep 1): your first Gestalt hit against an adjacent enemy each turn may make it Slowed 1 until the start of your next turn.,ADAPTATION LIMIT: 1
Ambush Chromatophores,physical,2,Gestalt,Predator,Grace,Gestalt,Fortitude,3,2,"Awareness, Locomotion",any,"damage, mobility, information",,Target,One enemy adjacent after moving up to 2 units from concealment.,Effect,"Move up to 2 units. On success, deal 1 Slashing Damage, or 2 if you began in concealment and the target had not detected you.",1,Ignore difficult terrain during movement.,2,"After a hit, move 2 units back toward concealment without triggering its movement Reactions.",Adaptation - Predator,"Assume Chromatophores (upkeep 0): while stationary in existing concealment, you may remain Hidden after observing enemies, but attacking still reveals you.",ADAPTATION LIMIT: 1
Venom Reservoir,physical,2,Gestalt,Predator,Vigor,Gestalt,Fortitude,3,2,"Metabolism, Armament",any,"damage, debuff, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 Piercing Damage and impose Poison: -1 on the target's next Success Die until the start of your next turn.",1,Increase the penalty to -2.,2,Deal +1 Piercing Damage.,Adaptation - Predator,"Assume Reservoir (upkeep 1): when a creature damages you with a bite or similar bodily melee attack, it becomes Slowed 1 until its next turn ends; no more than once per creature per round.",ADAPTATION LIMIT: 1
Impact Honeycomb,physical,2,Gestalt,Bulwark,Vigor,Gestalt,,3,2,"Integration, Regeneration",any,"protection, support",,Target,Self and one adjacent willing ally.,Effect,Unopposed. Each target reduces its next incoming Damage by 1 and resists its next 2 units of forced movement until the start of your next turn.,1,The ally may move 1 unit toward you.,2,One protected target reduces that Damage by 1 more.,Adaptation - Bulwark,"Assume Honeycomb (upkeep 1): once each round, reduce 1 incoming Damage to an adjacent ally by taking that 1 Damage yourself instead; resolve it against your accumulated Damage normally.",ADAPTATION LIMIT: 1
Emergency Scaffolding,physical,2,Gestalt,Bulwark,Vigor,Gestalt,,3,2,"Regeneration, Plasticity",any,"suppression, protection",,Target,Self.,Effect,Unopposed. Suppress one non-Critical physical Wound Condition's numerical penalties until the start of your next turn; reduce your next incoming Damage by 1 during that time.,1,Extend suppression through the end of your next turn.,2,Suppress one additional Light physical Wound Condition for the same duration.,Adaptation - Bulwark,Assume Scaffolding (upkeep 1): maintain suppression of one non-Critical physical Wound's numerical penalties; your Movement is reduced by 1. All injuries remain recorded.,ADAPTATION LIMIT: 1
Ablative Sheath,physical,2,Gestalt,Bulwark,Vigor,Gestalt,,3,2,"Metabolism, Awareness",any,"protection, information, mobility",,Target,Self.,Effect,"Unopposed. Choose Fire, Cold, Lightning or Acid. Reduce the next Damage of that type you take by 2 until the start of your next turn; detect its nearest visible source within 4 units.",1,You may move 1 unit away from that source.,2,Choose a second listed Damage type for the same protection.,Adaptation - Bulwark,Assume Sheath (upkeep 1): the first Damage each round of the chosen type is reduced by 1. Choosing another type requires establishing this Adaptation again.,ADAPTATION LIMIT: 1
Siege Osteology,physical,2,Gestalt,Titan,Might,Gestalt,Fortitude,3,2,"Armament, Integration",any,"damage, control, utility",,Target,One adjacent enemy or unattended mundane barrier.,Effect,"On success, deal 2 Bludgeoning Damage to an enemy. An unattended barrier instead takes 2 Damage without opposition.",1,"After a hit, push the enemy 1 unit.",2,"Deal +1 Damage to a barrier; against an enemy, knock it Prone instead.",Adaptation - Titan,Assume Siege Frame (upkeep 1): your first push each turn can move an adjacent creature 1 unit sideways instead of directly away. Your Movement is reduced by 1.,ADAPTATION LIMIT: 1
Mantle of Living Stone,physical,2,Gestalt,Titan,Vigor,Gestalt,,3,2,"Metabolism, Plasticity",any,"protection, support",,Target,Self.,Effect,Unopposed. Gain +1 Fortitude and resist up to 3 units of forced movement until the start of your next turn.,1,An adjacent willing ally gains +1 Fortitude against one attack until the start of your next turn.,2,Reduce your next incoming Damage by 1 until the start of your next turn.,Adaptation - Titan,"Assume Stone Mantle (upkeep 1): gain +1 Fortitude while your normal Movement is reduced by 2, to a minimum of 1. Ending the Adaptation ends both effects.",ADAPTATION LIMIT: 1
Razorwing Transit,physical,2,Gestalt,Strider,Grace,Gestalt,Fortitude,3,2,"Locomotion, Armament",any,"damage, mobility, area",,Target,Up to two enemies adjacent to spaces along a 3-unit clear path.,Effect,"Move along the path, briefly gliding over ground hazards. On success, deal 1 Slashing Damage to each selected target. End supported.",1,Increase the path by 1 unit.,2,One hit target is pushed 1 unit away from the path.,Adaptation - Strider,"Assume Razorwings (upkeep 1): once on your turn, glide up to 2 units as part of normal Movement, ignoring ground terrain. You cannot hover or gain height.",ADAPTATION LIMIT: 1
Burrowing Palms,physical,2,Gestalt,Strider,Might,Gestalt,,3,1,"Plasticity, Locomotion",any,"mobility, suppression, terrain",,Target,Self; an exposed patch of loose earth within 1 unit.,Effect,"Unopposed. Move through up to 2 units of loose, unworked earth and emerge in a detected empty space. This leaves no usable tunnel and cannot pass through foundations or stone.",1,Increase the movement by 1 unit.,2,"On emerging, suppress one ordinary restraint on yourself until your next turn.",Adaptation - Strider,Assume Burrowing Palms (upkeep 0): loose earth and rubble do not count as difficult terrain for your normal Movement.,ADAPTATION LIMIT: 1
Composite Hunt Form,physical,2,Gestalt,Chimera,Grace,Gestalt,Fortitude,3,2,"Integration, Awareness",any,"damage, information, mobility",,Target,One enemy adjacent after your movement.,Effect,"Detect moving creatures within 2 units on your surface. Move up to 1 unit. On success, deal 2 Slashing Damage to one detected enemy.",1,Ignore ordinary concealment for the attack.,2,"After a hit, move 2 units along a wall or floor.",Adaptation - Chimera,Assume Composite Hunt (upkeep 1): ignore ordinary concealment within 2 units and cross a 1-unit gap during normal Movement. This occupies your single Adaptation slot.,ADAPTATION LIMIT: 1
Autonomic Partition,physical,2,Gestalt,Chimera,Vigor,Gestalt,,3,2,"Regeneration, Metabolism",any,"suppression, protection",,Target,Self.,Effect,Unopposed. Suppress one ordinary Poison Condition and one Light physical Wound Condition's numerical penalties until the start of your next turn. Gain +1 Composure against pain-based effects during that time.,1,Extend both suppressions through the end of your next turn.,2,Reduce your next incoming Damage by 1 until the start of your next turn.,Adaptation - Chimera,"Assume Partition (upkeep 1): while you maintain this Adaptation, suppress the Composure penalty from one ordinary pain Condition and ignore the penalty from Unstable. Neither Condition is removed.",ADAPTATION LIMIT: 1
